[2025-07-20 15:31:25] ============================================================
[2025-07-20 15:31:25] INACTIVE PLAYER IMAGE CLEANUP
[2025-07-20 15:31:25] ============================================================
[2025-07-20 15:31:25] 
1. Scanning player images...
[2025-07-20 15:31:25] Found 0 images in american_football
[2025-07-20 15:31:25] Found 0 images in australian_football
[2025-07-20 15:31:25] Found 1395 images in baseball
[2025-07-20 15:31:25] Found 937 images in basketball
[2025-07-20 15:31:25] Found 22 images in darts
[2025-07-20 15:31:25] Found 0 images in golf
[2025-07-20 15:31:25] Found 1335 images in ice_hockey
[2025-07-20 15:31:25] Found 1960 images in mma
[2025-07-20 15:31:25] Found 23 images in motorsport
[2025-07-20 15:31:25] Found 6419 images in soccer
[2025-07-20 15:31:25] Found 45 images in tennis
[2025-07-20 15:31:25] 
2. Processing each sport...
[2025-07-20 15:31:25] 
==================================================
[2025-07-20 15:31:25] CLEANING SPORT: baseball
[2025-07-20 15:31:25] ==================================================
[2025-07-20 15:31:25] ⚠️  BASEBALL player data not available in API-Sports
[2025-07-20 15:31:25]    Keeping all 1395 images (cannot verify active status)
[2025-07-20 15:31:25] 
==================================================
[2025-07-20 15:31:25] CLEANING SPORT: basketball
[2025-07-20 15:31:25] ==================================================
[2025-07-20 15:31:25] Getting active players for NBA...
[2025-07-20 15:31:25]   Found 66 NBA teams
[2025-07-20 15:31:26]   Atlanta Hawks: 23 active players
[2025-07-20 15:31:26]   Boston Celtics: 22 active players
[2025-07-20 15:31:26]   Brisbane Bullets: 0 active players
[2025-07-20 15:31:27]   Brooklyn Nets: 27 active players
[2025-07-20 15:31:27]   Charlotte Hornets: 30 active players
[2025-07-20 15:31:27]   Chicago Bulls: 25 active players
[2025-07-20 15:31:27]   Cleveland Cavaliers: 24 active players
[2025-07-20 15:31:28]   Dallas Mavericks: 27 active players
[2025-07-20 15:31:28]   Denver Nuggets: 22 active players
[2025-07-20 15:31:28]   Detroit Pistons: 26 active players
[2025-07-20 15:31:28]   Golden State Warriors: 23 active players
[2025-07-20 15:31:29]   Guangzhou Long-Lions: 0 active players
[2025-07-20 15:31:29]   Haifa Maccabi Haifa: 0 active players
[2025-07-20 15:31:29]   Houston Rockets: 21 active players
[2025-07-20 15:31:30]   Indiana Pacers: 23 active players
[2025-07-20 15:31:30]   LA Clippers: 29 active players
[2025-07-20 15:31:30]   Los Angeles Lakers: 27 active players
[2025-07-20 15:31:30]   Melbourne United: 0 active players
[2025-07-20 15:31:31]   Memphis Grizzlies: 25 active players
[2025-07-20 15:31:31]   Miami Heat: 24 active players
[2025-07-20 15:31:31]   Milwaukee Bucks: 26 active players
[2025-07-20 15:31:32]   Minnesota Timberwolves: 22 active players
[2025-07-20 15:31:32]   New Orleans Pelicans: 30 active players
[2025-07-20 15:31:32]   New York Knicks: 24 active players
[2025-07-20 15:31:33]   Oklahoma City Thunder: 21 active players
[2025-07-20 15:31:33]   Orlando Magic: 21 active players
[2025-07-20 15:31:33]   Philadelphia 76ers: 30 active players
[2025-07-20 15:31:33]   Phoenix Suns: 23 active players
[2025-07-20 15:31:34]   Portland Trail Blazers: 20 active players
[2025-07-20 15:31:34]   Sacramento Kings: 28 active players
[2025-07-20 15:31:34]   San Antonio Spurs: 24 active players
[2025-07-20 15:31:35]   Shanghai Sharks: 0 active players
[2025-07-20 15:31:35]   Sydney Kings: 0 active players
[2025-07-20 15:31:35]   Team Team Durant: 0 active players
[2025-07-20 15:31:36]   Team LeBron: 0 active players
[2025-07-20 15:31:36]   Away Team Wilbon: 0 active players
