[2025-07-20 15:29:00] ============================================================
[2025-07-20 15:29:00] INACTIVE PLAYER IMAGE CLEANUP
[2025-07-20 15:29:00] ============================================================
[2025-07-20 15:29:00] 
1. Scanning player images...
[2025-07-20 15:29:00] Found 0 images in american_football
[2025-07-20 15:29:00] Found 0 images in australian_football
[2025-07-20 15:29:00] Found 1395 images in baseball
[2025-07-20 15:29:00] Found 937 images in basketball
[2025-07-20 15:29:00] Found 22 images in darts
[2025-07-20 15:29:00] Found 0 images in golf
[2025-07-20 15:29:00] Found 1335 images in ice_hockey
[2025-07-20 15:29:00] Found 1960 images in mma
[2025-07-20 15:29:00] Found 23 images in motorsport
[2025-07-20 15:29:00] Found 6419 images in soccer
[2025-07-20 15:29:00] Found 45 images in tennis
[2025-07-20 15:29:00] 
2. Processing each sport...
[2025-07-20 15:29:00] 
==================================================
[2025-07-20 15:29:00] CLEANING SPORT: baseball
[2025-07-20 15:29:00] ==================================================
[2025-07-20 15:29:00] ⚠️  BASEBALL player data not available in API-Sports
[2025-07-20 15:29:00]    Keeping all 1395 images (cannot verify active status)
[2025-07-20 15:29:00] 
==================================================
[2025-07-20 15:29:00] CLEANING SPORT: basketball
[2025-07-20 15:29:00] ==================================================
[2025-07-20 15:29:00] Getting active players for NBA...
[2025-07-20 15:29:00]   Found 66 NBA teams
[2025-07-20 15:29:01]   Atlanta Hawks: 23 active players
[2025-07-20 15:29:01]   Boston Celtics: 22 active players
[2025-07-20 15:29:01]   Brisbane Bullets: 0 active players
[2025-07-20 15:29:02]   Brooklyn Nets: 27 active players
[2025-07-20 15:29:02]   Charlotte Hornets: 30 active players
[2025-07-20 15:29:02]   Chicago Bulls: 25 active players
[2025-07-20 15:29:02]   Cleveland Cavaliers: 24 active players
[2025-07-20 15:29:02]   Dallas Mavericks: 27 active players
[2025-07-20 15:29:03]   Denver Nuggets: 22 active players
[2025-07-20 15:29:03]   Detroit Pistons: 26 active players
[2025-07-20 15:29:03]   Golden State Warriors: 23 active players
[2025-07-20 15:29:03]   Guangzhou Long-Lions: 0 active players
[2025-07-20 15:29:04]   Haifa Maccabi Haifa: 0 active players
[2025-07-20 15:29:04]   Houston Rockets: 21 active players
[2025-07-20 15:29:04]   Indiana Pacers: 23 active players
[2025-07-20 15:29:04]   LA Clippers: 29 active players
[2025-07-20 15:29:05]   Los Angeles Lakers: 27 active players
[2025-07-20 15:29:05]   Melbourne United: 0 active players
[2025-07-20 15:29:05]   Memphis Grizzlies: 25 active players
[2025-07-20 15:29:05]   Miami Heat: 24 active players
[2025-07-20 15:29:06]   Milwaukee Bucks: 26 active players
[2025-07-20 15:29:06]   Minnesota Timberwolves: 22 active players
[2025-07-20 15:29:06]   New Orleans Pelicans: 30 active players
[2025-07-20 15:29:06]   New York Knicks: 24 active players
[2025-07-20 15:29:07]   Oklahoma City Thunder: 21 active players
[2025-07-20 15:29:07]   Orlando Magic: 21 active players
[2025-07-20 15:29:07]   Philadelphia 76ers: 30 active players
[2025-07-20 15:29:07]   Phoenix Suns: 23 active players
[2025-07-20 15:29:08]   Portland Trail Blazers: 20 active players
[2025-07-20 15:29:08]   Sacramento Kings: 28 active players
[2025-07-20 15:29:08]   San Antonio Spurs: 24 active players
[2025-07-20 15:29:08]   Shanghai Sharks: 0 active players
[2025-07-20 15:29:09]   Sydney Kings: 0 active players
[2025-07-20 15:29:09]   Team Team Durant: 0 active players
[2025-07-20 15:29:09]   Team LeBron: 0 active players
[2025-07-20 15:29:10]   Away Team Wilbon: 0 active players
[2025-07-20 15:29:10]   Home Team Stephen A: 0 active players
[2025-07-20 15:29:10]   Toronto Raptors: 26 active players
[2025-07-20 15:29:11]   USA USA: 0 active players
[2025-07-20 15:29:11]   Utah Jazz: 22 active players
[2025-07-20 15:29:11]   Washington Wizards: 26 active players
[2025-07-20 15:29:11]   World World: 0 active players
[2025-07-20 15:29:12]   Team Africa: 0 active players
[2025-07-20 15:29:12]   Team World: 0 active players
[2025-07-20 15:29:13]   Real Madrid Real Madrid: 0 active players
[2025-07-20 15:29:13]   Rio de Janeiro Flamengo: 0 active players
[2025-07-20 15:29:13]   Barcelona FC Barcelona: 0 active players
[2025-07-20 15:29:14]   Buenos Aires San Lorenzo: 0 active players
[2025-07-20 15:29:14]   Adelaide 36ers: 0 active players
[2025-07-20 15:29:15]   Beijing Ducks: 0 active players
[2025-07-20 15:29:15]   New Zealand Breakers: 0 active players
[2025-07-20 15:29:15]   Perth Wildcats: 0 active players
[2025-07-20 15:29:16]   Team USA: 0 active players
[2025-07-20 15:29:16]   Team World: 0 active players
[2025-07-20 15:29:16]   Team China: 0 active players
[2025-07-20 15:29:17]   Team Croatia: 0 active players
[2025-07-20 15:29:17]   Franca Franca: 0 active players
[2025-07-20 15:29:18]   Utah Blue: 0 active players
[2025-07-20 15:29:18]   Utah White: 0 active players
